Method,KLD (20),KLD (80),KLD (240)
IMLE + TB,112.5150 +/- 57.5735,65.1426 +/- 54.3122,0.0293 +/- 0.0150
DLVM-1 + Random,0.2347 +/- 0.1493,0.1618 +/- 0.1030,0.1401 +/- 0.0885
DLVM-1 + TB,0.2961 +/- 0.2402,0.2394 +/- 0.2130,0.1480 +/- 0.0892
IMLE + DALE + PS=0,94.8337 +/- 60.5304,87.5811 +/- 62.8106,82.6167 +/- 63.0623
IMLE + DALE + PS=1,,,
IMLE + DALE + PS=2,0.3574 +/- 0.1641,0.3090 +/- 0.1586,0.2900 +/- 0.1565
IMLE + DALE + PS=4,0.3662 +/- 0.1645,0.1761 +/- 0.1010,0.1642 +/- 0.1014
IMLE + Random,0.6279 +/- 0.4260,0.1110 +/- 0.0636,0.0300 +/- 0.0141
DLVM-1 + DALE + PS=0,0.1964 +/- 0.1525,0.2068 +/- 0.1918,0.1828 +/- 0.1650
DLVM-1 + DALE + PS=1,,,
DLVM-1 + DALE + PS=2,0.1830 +/- 0.1222,0.1701 +/- 0.1387,0.1702 +/- 0.1295
DLVM-1 + DALE + PS=4,0.2088 +/- 0.1442,0.1615 +/- 0.1362,0.1682 +/- 0.1395
