Method,KLD (20),KLD (80),KLD (240)
IMLE + TB,69.8339 +/- 22.8492,42.1465 +/- 28.6642,0.0307 +/- 0.0133
DLVM-1 + Random,0.0638 +/- 0.0947,0.0146 +/- 0.0261,0.0054 +/- 0.0118
DLVM-1 + TB,0.1402 +/- 0.1685,0.0804 +/- 0.1191,0.0171 +/- 0.0372
IMLE + DALE + PS=0,46.2616 +/- 30.1336,42.3388 +/- 31.6393,38.0118 +/- 31.0896
IMLE + DALE + PS=1,,,
IMLE + DALE + PS=2,0.3793 +/- 0.1864,0.2984 +/- 0.1608,0.2829 +/- 0.1596
IMLE + DALE + PS=4,0.3397 +/- 0.1500,0.1599 +/- 0.0688,0.1498 +/- 0.0699
IMLE + Random,0.6734 +/- 0.3719,0.1079 +/- 0.0574,0.0333 +/- 0.0160
DLVM-1 + DALE + PS=0,0.0471 +/- 0.0844,0.0278 +/- 0.0665,0.0142 +/- 0.0415
DLVM-1 + DALE + PS=1,,,
DLVM-1 + DALE + PS=2,0.0780 +/- 0.1351,0.0145 +/- 0.0344,0.0128 +/- 0.0460
DLVM-1 + DALE + PS=4,0.0770 +/- 0.1136,0.0149 +/- 0.0268,0.0103 +/- 0.0245
