Method,KLD (20),KLD (80),KLD (240)
IMLE + TB,107.2247 +/- 55.7739,60.6801 +/- 51.5728,0.0287 +/- 0.0146
DLVM-3 + Random,0.2465 +/- 0.1785,0.1478 +/- 0.1233,0.1233 +/- 0.1330
DLVM-3 + TB,0.8662 +/- 3.0327,0.4560 +/- 1.0121,0.1162 +/- 0.1328
IMLE + DALE + PS=0,24.6876 +/- 33.3938,15.5538 +/- 26.5901,8.4990 +/- 17.3683
IMLE + DALE + PS=1,,,
IMLE + DALE + PS=2,0.4327 +/- 0.2298,0.3334 +/- 0.2250,0.2829 +/- 0.2132
IMLE + DALE + PS=4,0.3788 +/- 0.2122,0.1803 +/- 0.1059,0.1502 +/- 0.0934
IMLE + Random,9.4926 +/- 21.0583,0.1088 +/- 0.0774,0.0287 +/- 0.0137
DLVM-3 + DALE + PS=0,0.2909 +/- 0.3191,0.2642 +/- 0.3255,0.2320 +/- 0.3259
DLVM-3 + DALE + PS=1,,,
DLVM-3 + DALE + PS=2,0.2296 +/- 0.2195,0.2292 +/- 0.3391,0.2383 +/- 0.3414
DLVM-3 + DALE + PS=4,0.2466 +/- 0.1744,0.1832 +/- 0.2801,0.1904 +/- 0.3146
