Method,KLD (20),KLD (80),KLD (240)
IMLE + TB,66.8236 +/- 27.9585,38.0594 +/- 28.9784,0.0313 +/- 0.0144
DLVM-3 + Random,0.1453 +/- 0.1114,0.0365 +/- 0.0377,0.0095 +/- 0.0108
DLVM-3 + TB,0.2279 +/- 0.2392,0.2012 +/- 0.6005,0.0092 +/- 0.0115
IMLE + DALE + PS=0,10.1905 +/- 11.3998,5.7194 +/- 7.4193,3.7819 +/- 5.1420
IMLE + DALE + PS=1,,,
IMLE + DALE + PS=2,0.3688 +/- 0.1493,0.2391 +/- 0.1501,0.1806 +/- 0.1356
IMLE + DALE + PS=4,0.3456 +/- 0.1563,0.1393 +/- 0.0845,0.1074 +/- 0.0763
IMLE + Random,3.7689 +/- 11.0365,0.1005 +/- 0.0497,0.0333 +/- 0.0147
DLVM-3 + DALE + PS=0,0.1345 +/- 0.1460,0.0833 +/- 0.1384,0.0530 +/- 0.0900
DLVM-3 + DALE + PS=1,,,
DLVM-3 + DALE + PS=2,0.1004 +/- 0.0712,0.0622 +/- 0.0637,0.0460 +/- 0.0682
DLVM-3 + DALE + PS=4,0.1126 +/- 0.0907,0.0430 +/- 0.0467,0.0303 +/- 0.0404
