Method,KLD (20),KLD (80),KLD (240)
IMLE + TB,107.2247 +/- 55.7739,60.6801 +/- 51.5728,0.0287 +/- 0.0146
DLVM-2 + Random,0.2607 +/- 0.1872,0.1669 +/- 0.1565,0.1414 +/- 0.1567
DLVM-2 + TB,0.3799 +/- 0.3274,0.2704 +/- 0.2040,0.1401 +/- 0.1616
IMLE + DALE + PS=0,66.6478 +/- 62.3225,54.2911 +/- 60.7219,49.4207 +/- 58.5697
IMLE + DALE + PS=1,,,
IMLE + DALE + PS=2,0.3426 +/- 0.1614,0.2761 +/- 0.1452,0.2458 +/- 0.1357
IMLE + DALE + PS=4,0.3767 +/- 0.1731,0.1566 +/- 0.0933,0.1364 +/- 0.0835
IMLE + Random,0.6518 +/- 0.4457,0.1084 +/- 0.0655,0.0293 +/- 0.0152
DLVM-2 + DALE + PS=0,0.3092 +/- 0.2951,0.2620 +/- 0.2641,0.2378 +/- 0.2439
DLVM-2 + DALE + PS=1,,,
DLVM-2 + DALE + PS=2,0.2168 +/- 0.2038,0.1882 +/- 0.1938,0.2157 +/- 0.2148
DLVM-2 + DALE + PS=4,0.2471 +/- 0.1865,0.1830 +/- 0.1863,0.1884 +/- 0.1999
