Method,KLD (20),KLD (80),KLD (240)
IMLE + TB,37.7374 +/- 19.1055,23.4876 +/- 19.7547,0.0299 +/- 0.0172
DLVM-2 + Random,0.0523 +/- 0.0474,0.0147 +/- 0.0139,0.0067 +/- 0.0086
DLVM-2 + TB,0.1278 +/- 0.2285,0.0977 +/- 0.2670,0.0052 +/- 0.0061
IMLE + DALE + PS=0,3.3688 +/- 3.8349,2.2304 +/- 1.1932,1.9432 +/- 0.9945
IMLE + DALE + PS=1,,,
IMLE + DALE + PS=2,0.3800 +/- 0.1699,0.2736 +/- 0.1296,0.2314 +/- 0.1204
IMLE + DALE + PS=4,0.3948 +/- 0.1732,0.2194 +/- 0.1072,0.1938 +/- 0.1053
IMLE + Random,0.7221 +/- 0.3795,0.1210 +/- 0.0546,0.0327 +/- 0.0181
DLVM-2 + DALE + PS=0,0.0519 +/- 0.0895,0.0179 +/- 0.0288,0.0098 +/- 0.0189
DLVM-2 + DALE + PS=1,,,
DLVM-2 + DALE + PS=2,0.0553 +/- 0.0663,0.0139 +/- 0.0196,0.0071 +/- 0.0107
DLVM-2 + DALE + PS=4,0.0625 +/- 0.0712,0.0149 +/- 0.0199,0.0087 +/- 0.0132
